"","Compound","TimePoint"
"CFZ-DMSO-t6-r1","DMSO",6
"CFZ-DMSO-t6-r2","DMSO",6
"CFZ-DMSO-t6-r3","DMSO",6
"CFZ-26-t6-r1","26",6
"CFZ-26-t6-r2","26",6
"CFZ-26-t6-r3","26",6
"CFZ-22-t6-r1","22",6
"CFZ-22-t6-r2","22",6
"CFZ-22-t6-r3","22",6
"CFZ-13-t6-r1","13",6
"CFZ-13-t6-r2","13",6
"CFZ-13-t6-r3","13",6
"CFZ-18-t6-r1","18",6
"CFZ-18-t6-r2","18",6
"CFZ-18-t6-r3","18",6
"CFZ-DMSO-t24-r1","DMSO",24
"CFZ-DMSO-t24-r2","DMSO",24
"CFZ-DMSO-t24-r3","DMSO",24
"CFZ-26-t24-r1","26",24
"CFZ-26-t24-r2","26",24
"CFZ-26-t24-r3","26",24
"CFZ-22-t24-r1","22",24
"CFZ-22-t24-r2","22",24
"CFZ-22-t24-r3","22",24
"CFZ-13-t24-r1","13",24
"CFZ-13-t24-r2","13",24
"CFZ-13-t24-r3","13",24
"CFZ-18-t24-r1","18",24
"CFZ-18-t24-r2","18",24
"CFZ-18-t24-r3","18",24
