,,,
CFZ_DMSO_t6_r1,CFZ,DMSO,6
CFZ_DMSO_t6_r2,CFZ,DMSO,6
CFZ_DMSO_t6_r3,CFZ,DMSO,6
CFZ_26_t6_r1,CFZ,26,6
CFZ_26_t6_r2,CFZ,26,6
CFZ_26_t6_r3,CFZ,26,6
CFZ_22_t6_r1,CFZ,22,6
CFZ_22_t6_r2,CFZ,22,6
CFZ_22_t6_r3,CFZ,22,6
CFZ_13_t6_r1,CFZ,13,6
CFZ_13_t6_r2,CFZ,13,6
CFZ_13_t6_r3,CFZ,13,6
CFZ_18_t6_r1,CFZ,18,6
CFZ_18_t6_r2,CFZ,18,6
CFZ_18_t6_r3,CFZ,18,6
CFZ_DMSO_t24_r1,CFZ,DMSO,24
CFZ_DMSO_t24_r2,CFZ,DMSO,24
CFZ_DMSO_t24_r3,CFZ,DMSO,24
CFZ_26_t24_r1,CFZ,26,24
CFZ_26_t24_r2,CFZ,26,24
CFZ_26_t24_r3,CFZ,26,24
CFZ_22_t24_r1,CFZ,22,24
CFZ_22_t24_r2,CFZ,22,24
CFZ_22_t24_r3,CFZ,22,24
CFZ_13_t24_r1,CFZ,13,24
CFZ_13_t24_r2,CFZ,13,24
CFZ_13_t24_r3,CFZ,13,24
CFZ_18_t24_r1,CFZ,18,24
CFZ_18_t24_r2,CFZ,18,24
CFZ_18_t24_r3,CFZ,18,24
